Date,Open,High,Low,Close,Adj Close,Volume
2017-11-01,56.32,56.84,56.189999,56.209999,55.82,11678300
2017-11-02,55.799999,56.52,55.349998,56.48,56.48,15630000
2017-11-03,56.25,56.439999,55.900002,56.349998,56.349998,10049200
2017-11-06,56.099998,56.43,56,56.18,56.18,10414900
2017-11-07,56.169998,56.290001,54.669998,55.049999,55.049999,18679100
2017-11-08,54.799999,54.990002,54.049999,54.259998,54.259998,24047100
2017-11-09,53.900002,54.189999,53.209999,54,54,24438800
2017-11-10,54.02,54.130001,53.790001,53.810001,53.810001,13671700
2017-11-13,53.52,53.91,53.41,53.720001,53.720001,13447000
2017-11-14,53.52,54.099998,53.32,54.040001,54.040001,20830100
2017-11-15,53.630001,54.119999,53.490002,53.75,53.75,18238600
2017-11-16,53.950001,54.860001,53.860001,54.599998,54.599998,26361800
2017-11-17,54.209999,54.459999,53.970001,54.150002,54.150002,15814800
2017-11-20,54.119999,54.209999,53.849998,54.049999,54.049999,16943100
2017-11-21,54.080002,54.580002,53.990002,54.52,54.52,13757000
2017-11-22,54.459999,54.619999,54.029999,54.060001,54.060001,11421700
2017-11-24,54.189999,54.310001,54,54.09,54.09,5386500
2017-11-27,54.02,54.459999,53.860001,53.950001,53.950001,11066800
2017-11-28,53.869999,55.889999,53.720001,55.57,55.57,25685200
2017-11-29,55.84,57.25,55.700001,56.68,56.68,29631800
2017-11-30,57.029999,57.330002,56.380001,56.470001,56.470001,30984400
2017-12-01,56.57,57.18,55.439999,56.200001,56.200001,31242400
2017-12-04,57.27,57.990002,57.200001,57.389999,57.389999,28720400
2017-12-05,58.66,59.41,57.439999,58.549999,58.549999,39754900
2017-12-06,58.68,59.099998,58.119999,58.57,58.57,26758300
2017-12-07,58.450001,60,58.290001,59.360001,59.360001,32990600
2017-12-08,59.310001,59.919998,59.150002,59.310001,59.310001,22017100
2017-12-11,58.959999,59.299999,58.619999,58.869999,58.869999,15876600
2017-12-12,58.709999,60.560001,58.709999,60.330002,60.330002,25040400
2017-12-13,60.310001,60.5,59.380001,59.400002,59.400002,18227000
2017-12-14,59.549999,59.990002,59.209999,59.220001,59.220001,14673000
2017-12-15,59.450001,60.650002,59.349998,59.869999,59.869999,36467523
