Date,Open,High,Low,Close,Adj Close,Volume
2017-11-01,83.32,83.32,82.040001,82.400002,82.400002,1112800
2017-11-02,82.199997,82.230003,81.220001,81.860001,81.860001,1053100
2017-11-03,81.68,81.849998,80.459999,80.870003,80.870003,972000
2017-11-06,81,82.230003,80.900002,81.519997,81.519997,1319100
2017-11-07,81.760002,82.68,81.730003,82.480003,82.480003,944900
2017-11-08,82.089996,82.830002,81.870003,82.309998,82.309998,854900
2017-11-09,81.43,82.190002,80.660004,81.879997,81.879997,1216000
2017-11-10,81.669998,82.599998,81.620003,82.580002,82.580002,768400
2017-11-13,81.889999,82.410004,81.440002,81.809998,81.809998,1055500
2017-11-14,81.599998,81.93,81.300003,81.489998,81.489998,1138000
2017-11-15,80.919998,81.129997,79.68,80.269997,80.269997,1555700
2017-11-16,80.760002,82,80.68,81.330002,81.330002,1263700
2017-11-17,81.18,81.889999,80.889999,81.489998,81.489998,1119300
2017-11-20,81.480003,82.230003,81.209999,81.260002,81.260002,1245900
2017-11-21,81.260002,82.879997,80.989998,82.230003,82.230003,1866100
2017-11-22,82.120003,82.400002,80.68,80.790001,80.790001,1481800
2017-11-24,80.800003,81.389999,79.910004,80.949997,80.949997,840000
2017-11-27,81.120003,82.150002,80.949997,81.910004,81.910004,1613200
2017-11-28,82.150002,82.879997,81.980003,82.559998,82.559998,2274500
2017-11-29,82.449997,82.449997,76.839996,77.989998,77.989998,2383600
2017-11-30,78.550003,78.860001,76.599998,78.239998,78.239998,8465500
2017-12-01,77.599998,81.93,77.300003,79.959999,79.959999,3873300
2017-12-04,80.190002,80.25,74.660004,74.889999,74.889999,2389300
2017-12-05,74.57,75.82,73.559998,74.470001,74.470001,1720100
2017-12-06,74,75.480003,73.75,75.059998,75.059998,2197100
2017-12-07,75.82,76.970001,75.559998,75.889999,75.889999,2010400
2017-12-08,76.830002,77.690002,75.940002,77.25,77.25,2874400
2017-12-11,77.459999,79.339996,77.099998,79.290001,79.290001,1215700
2017-12-12,79.040001,80,78.370003,79.25,79.25,2135400
2017-12-13,79.559998,80.769997,79.199997,80.190002,80.190002,1633800
2017-12-14,80.809998,81.160004,79.720001,79.760002,79.760002,1086000
2017-12-15,80.220001,81.110001,79.370003,80.989998,80.989998,1588588
