Date,Open,High,Low,Close,Adj Close,Volume
2017-11-01,55.419998,55.5,54.849998,55.07,54.887711,7544500
2017-11-02,55.150002,55.32,54.59,55.119999,54.937542,7250300
2017-11-03,55.150002,55.720001,55.040001,55.709999,55.525593,9448200
2017-11-06,55.290001,56.130001,55.139999,56.040001,55.8545,9332200
2017-11-07,55.75,56.02,55.02,55.150002,54.967445,7774700
2017-11-08,55,55.77,54.889999,55.759998,55.575424,7079400
2017-11-09,55.5,56.349998,55.310001,56.130001,55.944202,10958500
2017-11-10,55.880001,56.490002,55.619999,56.09,55.904335,7535700
2017-11-13,55.66,56.09,55.66,55.91,55.72493,10106100
2017-11-14,55.709999,56.18,55.529999,55.98,55.794697,5037500
2017-11-15,55.959999,56.869999,55.080002,56.630001,56.442547,6610500
2017-11-16,56.619999,57.279999,56.41,57.23,57.040562,8233300
2017-11-17,58.540001,59.529999,58.369999,59.189999,58.994072,15475500
2017-11-20,58.630001,59.5,57.98,59.25,59.053875,8480600
2017-11-21,59.029999,59.400002,58.93,59.389999,59.193409,9057800
2017-11-22,59.18,59.34,58.939999,59.07,58.87447,8501300
2017-11-24,59,59.349998,58.91,59.32,59.123642,3400400
2017-11-27,59.200001,59.700001,59.169998,59.630001,59.432617,7891600
2017-11-28,58.759998,59.599998,58.540001,59.580002,59.382782,8665300
2017-11-29,59.73,60.630001,59.73,60.360001,60.160202,12022800
2017-11-30,60.259998,61.209999,60.200001,60.419998,60.219997,12551200
2017-12-01,60.419998,60.43,59.240002,59.880001,59.880001,10113500
2017-12-04,60.27,60.700001,59.970001,60.099998,60.099998,7513200
2017-12-05,60.650002,60.799999,59.650002,60.419998,60.419998,8862900
2017-12-06,60.41,60.849998,59.700001,59.720001,59.720001,7862200
2017-12-07,59.860001,61.060001,59.650002,60.599998,60.599998,6113300
2017-12-08,60.5,61.369999,60.290001,61.299999,61.299999,6065200
2017-12-11,61.369999,62.220001,61.299999,61.91,61.91,9017800
2017-12-12,61.810001,62.529999,61.650002,62.169998,62.169998,7358000
2017-12-13,62.220001,64.459999,62.02,64.300003,64.300003,16072600
2017-12-14,64.43,64.849998,64.050003,64.529999,64.529999,12973900
2017-12-15,64.889999,65.07,64.150002,64.790001,64.790001,15659278
