Date,Open,High,Low,Close,Adj Close,Volume
2017-11-01,74.059998,74.110001,72.489998,73.040001,72.686562,1624200
2017-11-02,73,73.379997,71.860001,72.480003,72.12928,2565100
2017-11-03,72.629997,72.839996,72.290001,72.800003,72.447731,2216100
2017-11-06,73.150002,74.510002,72.980003,74.5,74.139496,3226000
2017-11-07,74.230003,75.139999,73.290001,73.910004,73.552361,2241200
2017-11-08,73.860001,73.860001,73.160004,73.620003,73.263763,1306400
2017-11-09,73.32,73.370003,70.620003,70.760002,70.417595,2838400
2017-11-10,70.800003,71.940002,70.629997,71.870003,71.522224,1808900
2017-11-13,71.650002,72.610001,71.309998,72.330002,71.980003,1442900
2017-11-14,71.610001,72.239998,71.400002,72.050003,72.050003,992100
2017-11-15,71.75,71.980003,70.610001,70.940002,70.940002,1123400
2017-11-16,71.400002,72.860001,71.230003,72.669998,72.669998,1264700
2017-11-17,72.699997,73,71.589996,71.809998,71.809998,1801400
2017-11-20,71.809998,72.93,71.459999,72.639999,72.639999,1118200
2017-11-21,73.010002,73.790001,72.75,73.209999,73.209999,1250700
2017-11-22,73.459999,73.489998,72.220001,72.239998,72.239998,768900
2017-11-24,72.400002,73,72.400002,72.879997,72.879997,426700
2017-11-27,72.57,72.879997,71.980003,72.489998,72.489998,1087200
2017-11-28,72.779999,72.989998,71.730003,72.169998,72.169998,1581000
2017-11-29,71.940002,72.099998,68.349998,69.379997,69.379997,3059300
2017-11-30,69.730003,70.300003,69.199997,69.510002,69.510002,3346500
2017-12-01,69,69.400002,67.040001,68.239998,68.239998,3137300
2017-12-04,68.57,69.290001,67.080002,68.160004,68.160004,2037700
2017-12-05,68.160004,69.470001,67.57,68.419998,68.419998,1360600
2017-12-06,68.169998,68.980003,68.010002,68.389999,68.389999,1417100
2017-12-07,68.650002,69.599998,68.489998,69,69,1192400
2017-12-08,69.580002,69.709999,68.489998,68.540001,68.540001,1039600
2017-12-11,68.540001,68.82,67.839996,68.379997,68.379997,1649200
2017-12-12,68.010002,68.400002,67.449997,67.68,67.68,1876400
2017-12-13,68.169998,68.639999,67.900002,68.029999,68.029999,2421500
2017-12-14,68.230003,68.610001,67.910004,68.07,68.07,1444400
2017-12-15,68.440002,69.109901,67.75,67.980003,67.980003,4311589
